movielensId,actor
1,1195
1,2228
1,4666
1,4709
2,513
2,2415
2,2728
2,4112
3,247
3,1910
3,4442
3,4884
4,229
4,2839
4,2955
4,4912
5,1151
5,2724
5,3164
5,4505
6,60
6,2403
6,4067
6,4802
7,1679
7,1736
7,2494
7,3504
8,523
8,721
8,1398
8,2422
9,2098
9,3850
9,3928
9,4913
10,1450
10,1888
10,3840
10,4326
11,272
11,3163
11,3320
11,3330
12,2873
12,3269
12,3807
12,4520
13,504
13,561
13,2220
13,2677
14,288
14,1253
14,2239
14,3850
15,1502
15,1578
15,3225
15,3238
16,1998
16,2265
16,4067
16,4372
17,1378
17,1972
17,2592
17,4728
18,163
18,305
18,4265
18,4675
19,1843
19,2218
19,3252
19,4413
20,2151
20,4061
20,4911
20,4965
21,1000
21,1584
21,2377
21,3960
22,1139
22,1811
22,4411
22,4946
23,197
23,305
23,2505
23,4555
24,2122
24,2780
24,3185
24,4334
25,1318
25,2502
25,3578
25,4006
26,1877
26,2664
26,2813
26,3534
27,801
27,1114
27,4176
27,4659
28,168
28,836
28,902
28,4535
29,979
29,1180
29,2485
29,4147
31,904
31,1601
31,3396
31,4107
32,522
32,596
32,2449
32,3026
34,804
34,1966
34,3034
34,3452
36,3928
36,4088
36,4336
36,4537
39,134
39,572
39,3751
39,4458
41,272
41,813
41,1285
41,1842
42,787
42,1532
42,2641
42,2786
43,1086
43,3847
43,4070
43,4255
44,670
44,821
44,2912
44,4110
45,671
45,2251
45,3205
45,3579
46,261
46,1344
46,2545
46,4960
47,209
47,522
47,2699
47,3483
48,788
48,2256
48,2908
48,3270
50,739
50,1543
50,2699
50,4473
52,3447
52,3679
52,3959
52,4964
57,261
57,711
57,1811
57,4070
58,3084
58,3197
58,3834
58,3956
60,1715
60,2913
60,2932
60,4001
61,1253
61,2703
61,3633
61,4243
62,1659
62,2076
62,3644
62,3991
65,1121
65,3764
65,4473
65,4929
66,350
66,1358
66,3206
66,3698
69,787
69,1849
69,3548
69,4731
70,1598
70,1749
70,2521
70,3857
72,680
72,1399
72,2458
72,4269
73,91
73,2102
73,3387
73,4248
74,794
74,2454
74,3186
74,3677
76,211
76,2154
76,3821
76,4186
79,86
79,1114
79,1977
79,2445
81,222
81,823
81,829
81,4937
82,1355
82,2007
82,4814
82,4927
85,2167
85,2753
85,3133
85,3715
86,658
86,2114
86,2370
86,4323
87,1395
87,1458
87,2037
87,4200
88,772
88,805
88,1081
88,4671
89,723
89,829
89,905
89,2386
92,1599
92,2346
92,2495
92,3325
93,154
93,229
93,1265
93,2544
94,259
94,3205
94,3597
94,4682
95,794
95,1113
95,2377
95,4263
97,14
97,1818
97,4305
97,4846
100,60
100,561
100,999
100,2308
101,3002
101,3538
101,3669
101,4379
104,28
104,824
104,1487
104,2509
105,274
105,874
105,3291
105,4833
107,481
107,2155
107,2678
107,4669
110,236
110,3270
110,3707
110,4445
111,79
111,921
111,2253
111,4067
112,240
112,473
112,1520
112,1923
122,1029
122,1265
122,1718
122,4108
125,411
125,3187
125,3693
125,4788
126,657
126,1903
126,2051
126,3286
132,739
132,1038
132,2905
132,3988
135,1738
135,2655
135,2811
135,4052
140,2262
140,3396
140,4089
140,4521
141,1157
141,1584
141,3531
141,4112
144,1276
144,1912
144,3349
144,4367
145,2924
145,3161
145,3379
145,4925
147,1987
147,2861
147,2962
147,3101
150,466
150,1572
150,2677
150,4709
151,2203
151,2331
151,2886
151,4675
153,2218
153,3579
153,4734
153,4802
154,677
154,1590
154,2094
154,3388
155,1489
155,3693
155,4449
155,4791
157,64
157,2300
157,2697
157,3966
158,467
158,686
158,801
158,1394
159,1113
159,1749
159,2378
159,3266
160,1244
160,1416
160,2803
160,4669
161,1132
161,1584
161,1601
161,3203
162,1
163,305
163,740
163,2250
163,4247
164,1132
164,1185
164,2141
164,4724
165,596
165,1675
165,2166
165,4270
168,404
168,2494
168,3995
168,4330
169,1496
169,2051
169,3180
169,3345
170,231
170,2188
170,2425
170,3221
172,1167
172,1174
172,1850
172,2630
173,317
173,2539
173,4052
173,4555
174,553
174,3764
174,4463
174,4661
175,763
175,2533
175,2851
175,4290
176,679
176,998
176,1139
176,4498
177,993
177,1891
177,2685
177,4310
180,844
180,2052
180,2168
180,4362
181,2046
181,2390
181,2555
181,4499
185,1129
185,1149
185,2169
185,4275
186,1823
186,2242
186,2505
186,4699
188,829
188,1312
188,1399
188,4864
191,1114
191,1571
191,2920
191,4071
193,1324
193,1637
193,1658
193,2766
194,1632
194,1749
194,2470
194,4942
195,1130
195,1581
195,2495
195,4071
196,128
196,408
196,3345
196,3526
198,229
198,2521
198,3894
198,4724
203,2338
203,3711
203,4521
203,4911
204,1390
204,1441
204,2601
204,4518
205,200
205,2378
205,3238
205,3368
207,50
207,296
207,1633
207,2630
208,1128
208,2109
208,2681
208,4687
213,1865
213,3498
213,3587
213,3622
215,202
215,1423
215,1722
215,2512
216,28
216,526
216,563
216,1016
217,134
217,1897
217,2168
217,2825
218,1228
218,3189
218,3224
218,4914
222,779
222,1621
222,3444
222,4236
223,559
223,2113
223,2928
223,3099
224,1458
224,1708
224,2386
224,3145
225,658
225,1114
225,1203
225,3320
227,1564
227,3334
227,4911
227,4973
229,408
229,2757
229,4411
229,4524
230,826
230,2148
230,2491
230,2612
231,2117
231,2218
231,2811
231,3421
232,756
232,2759
232,4412
232,4989
233,587
233,1191
233,1312
233,3294
234,947
234,961
234,3745
234,4176
235,2386
235,3160
235,3693
235,4291
236,2091
236,2688
236,3259
236,4682
237,483
237,925
237,1109
237,2262
239,456
239,2055
239,2220
239,2646
246,1
247,1146
247,2592
247,3275
247,4295
248,2711
248,2714
248,3827
248,4419
249,1571
249,1881
249,2176
249,2283
250,9
250,411
250,1049
250,4719
252,2966
252,3259
252,4674
252,4884
253,305
253,522
253,2728
253,4702
255,65
255,2549
255,4940
256,321
256,1000
256,1378
256,1502
257,493
257,2583
257,2813
257,4330
258,327
258,2467
258,3675
258,4650
260,87
260,662
260,1736
260,3120
261,843
261,2728
261,4537
261,4960
262,1304
262,2884
262,2889
262,4211
265,3003
265,3067
265,3102
265,3946
266,48
266,288
266,522
266,2494
267,364
267,946
267,2437
267,3329
272,164
272,1773
272,3584
272,4202
273,1777
273,2664
273,4067
273,4714
274,749
274,1455
274,1611
274,2422
275,289
275,3028
275,4077
275,4505
276,1253
276,3046
276,3274
276,3360
277,1240
277,1335
277,1897
277,3978
280,794
280,1360
280,1571
280,2677
281,596
281,2208
281,3274
281,3746
282,2253
282,2886
282,3528
282,4008
288,2521
288,4126
288,4724
288,4965
289,513
289,2250
289,3109
289,4070
290,2498
290,3048
290,3955
290,4610
292,1233
292,2699
292,3483
292,3960
293,999
293,1571
293,2091
293,3520
296,596
296,2377
296,4270
296,4797
300,2378
300,3754
300,3894
300,4050
303,1584
303,2861
303,4208
303,4372
305,2104
305,2495
305,3063
305,4442
306,1540
306,1877
306,2099
306,2105
307,425
307,2512
307,2520
307,5021
308,2031
308,2186
308,2512
308,5021
312,58
312,2806
312,4399
312,4847
314,1295
314,2136
314,3404
314,3690
315,1998
315,4120
315,4372
315,4555
316,1995
316,2078
316,2761
316,4867
317,1395
317,2478
317,4666
317,4903
318,503
318,3483
318,4674
318,4951
319,816
319,1444
319,2662
319,2674
322,417
322,1510
322,2699
322,3392
325,2818
325,3206
325,4732
325,4805
327,1188
327,1850
327,2958
327,3510
328,489
328,1942
328,2335
328,4951
329,2411
329,3046
329,3710
329,4954
330,849
330,896
330,1095
330,2267
332,827
332,2731
332,2909
332,3359
333,497
333,552
333,772
333,1081
337,2386
337,2521
337,2861
337,3185
338,1132
338,2650
338,4208
338,4489
339,467
339,3786
339,3799
339,4275
342,459
342,3873
342,4444
342,4738
344,903
344,2218
344,4337
344,4737
345,1705
345,1829
345,3938
345,4612
346,1563
346,1840
346,4392
346,4480
347,1382
347,1823
347,2753
347,3788
348,739
348,1157
348,2156
348,2308
349,260
349,1736
349,2250
349,4928
350,523
350,3189
350,4537
350,4734
351,3605
351,3917
351,4687
351,4914
353,527
353,1416
353,3383
353,4116
354,2950
354,3537
354,4103
354,4734
355,1718
355,2321
355,4022
355,4176
356,1572
356,4113
356,4243
356,4709
357,200
357,1823
357,1972
357,4413
358,2142
358,2756
358,3365
358,3645
360,1993
360,2495
360,3568
360,4302
361,561
361,3578
361,4177
361,4900
362,668
362,2062
362,2844
362,4255
364,1971
364,2166
364,3216
364,4914
366,1761
366,2118
366,3427
366,4072
367,628
367,2218
367,3800
367,3813
368,1675
368,1978
368,2253
368,3270
370,1603
370,2873
370,3616
370,3852
371,1656
371,3109
371,3336
371,4071
372,1423
372,2021
372,4510
372,4960
373,909
373,1128
373,2783
373,3578
374,805
374,1283
374,2337
374,3019
376,1082
376,2448
376,2677
376,3291
377,1128
377,2263
377,2630
377,4275
378,512
378,827
378,1578
378,3336
379,591
379,2098
379,3295
379,4149
380,321
380,466
380,2005
380,4699
381,222
381,1344
381,3259
381,4687
382,1914
382,1995
382,2590
382,3396
383,1030
383,1130
383,1584
383,2681
393,943
393,2098
393,3442
393,3911
405,821
405,1105
405,3044
405,3104
407,1089
407,2510
407,2539
407,4255
410,242
410,823
410,2242
410,3911
412,978
412,2904
412,3396
412,4960
413,28
413,540
413,772
413,4498
414,713
414,2677
414,4961
414,4981
415,1125
415,1367
415,3991
415,4176
416,200
416,1228
416,3026
416,3186
417,769
417,3447
417,4603
417,4779
419,876
419,1163
419,1412
419,2228
420,1265
420,1426
420,2282
420,2402
421,68
421,1086
421,1172
421,4326
423,2114
423,2941
423,4549
423,4734
426,1549
426,3260
426,3952
426,4627
427,466
427,2502
427,2762
427,4391
428,739
428,1496
428,2898
428,4067
429,553
429,770
429,1976
429,4041
431,60
431,2338
431,3771
431,4336
432,483
432,991
432,1916
432,2400
433,959
433,1971
433,2697
433,4804
434,2029
434,2340
434,3370
434,4555
435,947
435,2012
435,2417
435,4079
436,596
436,2019
436,2866
436,4193
437,749
437,1157
437,1916
437,4066
438,1240
438,1416
438,2703
438,4965
440,1502
440,2682
440,2688
440,4411
441,2054
441,3224
441,4153
441,4916
442,3584
442,4275
442,4555
442,4911
444,233
444,2962
444,3689
444,4797
445,317
445,2590
445,4337
445,4391
446,1466
446,2870
446,2881
446,4986
448,1881
448,2114
448,4177
448,4714
450,540
450,2265
450,3466
450,3699
454,1584
454,1714
454,2109
454,4702
455,2051
455,2080
455,2958
455,3345
457,1736
457,2505
457,4343
457,4734
459,86
459,1998
459,2706
459,3345
464,833
464,2098
464,2780
464,4973
466,729
466,2941
466,3988
466,4804
468,888
468,1823
468,1843
468,4585
471,711
471,2148
471,3746
471,4674
472,79
472,2515
472,3568
472,4913
473,221
473,1029
473,2958
473,3764
474,874
474,1240
474,2346
474,3960
475,140
475,978
475,3782
475,3831
477,229
477,2813
477,3930
477,4861
480,2122
480,2799
480,3978
480,4255
481,522
481,1069
481,2521
481,2613
482,1396
482,1399
482,2512
482,3162
485,321
485,323
485,710
485,1448
489,3548
489,4606
489,4914
489,4925
490,86
490,393
490,467
490,3579
491,1456
491,3076
491,3270
491,3572
492,1151
492,2177
492,3008
492,4964
493,2525
493,2786
493,4753
493,4786
494,1718
494,2338
494,2761
